" TW"," LW"," Movie"," Studio"," Weekend Gross"," Change"," Screens"," Change / Avg."," Gross-to-Date"," Week",""
"9","5","G-Force","Disney","$5,299","-73.9%","23","-6","$230","$1,455,220","8","Unknown"
"10","6","The Hangover","Importadora","$3,726","-78.1%","8","-7","$466","$182,729","5","USA"
"11","11","The Accidental Husband","Disney","$3,486","-53.0%","12","-","$291","$170,606","5","UK"
"12","10","State of Play","UIP","$3,446","-61.2%","12","-3","$287","$44,928","3","France, UK, USA"
"13","9","G.I. Joe","UIP","$2,426","-75.3%","7","-8","$347","$618,120","7","Unknown"
"14","13","The Unborn (2009)","UIP","$1,561","-41.1%","6","-9","$260","$207,994","6","USA"
"15","14","The Proposal","Disney","$1,285","-47.1%","2","-2","$643","$309,133","11","USA"
"16","16","Harry Potter and the Half Blood Prince","Importadora","$458","-51.2%","10","-13","$46","$1,192,282","10","Unknown"
"17","-","Ice Age: Dawn of the Dinosaurs","Fox","$408","-","7","-","$58","$2,451,025","12","Unknown"
"18","17","12 Rounds","Fox","$313","-43.3%","2","-1","$157","$34,271","6","USA"
"19","12","Public Enemies","UIP","$290","-93.1%","4","-11","$73","$75,606","5","Unknown"
" TW"," LW"," Movie"," Studio"," Weekend Gross"," Change"," Screens"," Change / Avg."," Gross-to-Date"," Week"," Production Country",""
"1","N","Aliens in the Attic","Fox","$72,700","-","22","-","$3,305","$72,700","1","Unknown"
"2","N","The Ugly Truth","Sony","$62,157","-","22","-","$2,825","$62,157","1","Unknown"
"3","2"," Tinker Bell and the Lost Treasure","Disney","$35,170","-40.5%","15","-","$2,345","$114,269","2","Unknown"
"4","1","My Bloody Valentine 3-D","n/a","$28,247","-62.7%","22","+21","$1,284","$329,414","3","USA"
"5","3","G-Force","Disney","$20,331","-52.2%","29","-18","$701","$1,446,980","7","Unknown"
"6","5","The Hangover","Importadora","$17,017","-28.1%","15","-","$1,134","$170,539","4","USA"
"7","N","Righteous Kill","n/a","$13,269","-","11","-","$1,206","$13,269","1","USA"
"8","4","The Taking of Pelham One, Two, Three","Sony","$13,110","-58.2%","23","-","$570","$141,565","3","UK, USA"
"9","6","G.I. Joe","UIP","$9,818","-48.0%","15","-11","$655","$612,970","6","Unknown"
"10","7","State of Play","UIP","$8,873","-51.1%","15","-","$592","$37,365","2","France, UK, USA"
"11","8","The Accidental Husband","Disney","$7,410","-59.0%","12","-13","$618","$167,120","4","UK"
"12","11","Public Enemies","UIP","$4,215","-9.6%","15","-","$281","$74,396","4","Unknown"
"13","10","The Unborn (2009)","UIP","$2,650","-68.2%","15","-6","$177","$205,479","5","USA"
"14","13","The Proposal","Disney","$2,428","-12.8%","4","-","$607","$307,848","10","USA"
"15","9","Knowing","n/a","$2,085","-87.6%","5","-17","$417","$153,416","4","Australia, USA"
"16","12","Harry Potter and the Half Blood Prince","Importadora","$938","-69.8%","23","-4","$41","$1,191,634","9","Unknown"
"17","16","12 Rounds","Fox","$552","-14.6%","3","-4","$184","$33,579","5","USA"
" TW"," LW"," Movie"," Studio"," Weekend Gross"," Change"," Screens"," Change / Avg."," Gross-to-Date"," Week"," Production Country",""
