" TW"," LW"," Movie"," Studio"," Weekend Gross"," Change"," Screens"," Change / Avg."," Gross-to-Date"," Week",""
"18","-"," Shaban El Fares (Shaban the Knight)","Gulf","$3,047","-","5","-","$609","$39,846","2"
"19","18","Harry Potter and the Half Blood Prince","WB","$1,851","+10.9%","1","-","$1,851","$1,499,963","17"
"20","20","District 9","Gulf","$715","-43.8%","1","-","$715","$430,911","8"
"21","14","The Time Traveler's Wife","Gulf","$670","-85.9%","1","-1","$670","$226,731","5"
"22","17"," Ibrahim El Abiad","Gulf","$659","-62.1%","1","-1","$659","$44,343","3"
"23","7"," The Fifth Commandment","Gulf","$174","-99.3%","2","-15","$87","$139,829","3"
" TW"," LW"," Movie"," Studio"," Weekend Gross"," Change"," Screens"," Change / Avg."," Gross-to-Date"," Week",""
"1","N","Couples Retreat","UIP","$193,282","-","21","-","$9,204","$251,652","1"
"2","N","Michael Jackson's This Is It","Sony","$172,490","-","20","-","$8,625","$172,490","1"
"3","N","Whiteout","WB","$64,278","-","20","-","$3,214","$85,086","1"
"4","1","A Perfect Getaway","n/a","$41,427","-75.1%","20","-","$2,071","$268,494","2"
"5","N","Gake no ue no Ponyo (Ponyo on a Cliff)","n/a","$38,623","-","13","-","$2,971","$43,676","1"
"6","N"," Toy Story in 3D","Disney","$34,745","-","3","-","$11,582","$39,720","1"
"7","2"," The Fifth Commandment","Gulf","$23,666","-72.6%","17","-3","$1,392","$139,509","2"
"8","N"," Unusual Heroes","Italian","$16,964","-","10","-","$1,696","$22,715","1"
"9","6","Shorts","WB","$16,008","-57.1%","12","-4","$1,334","$125,023","3"
"10","9","The Final Destination","WB","$11,103","-58.2%","3","-","$3,701","$776,421","5"
"11","3","Love Happens","Italian","$9,066","-86.4%","4","-7","$2,267","$101,338","2"
"12","10"," Cloudy with a Chance of Meatballs","Sony","$7,027","-71.9%","4","-4","$1,757","$558,346","7"
"13","15","Inglourious Basterds","UIP","$4,909","-14.8%","2","-","$2,455","$576,576","6"
"14","13","The Time Traveler's Wife","Gulf","$4,755","-62.7%","2","-4","$2,378","$225,818","4"
