" TW"," LW"," Movie"," Weekend Gross"," Change"," Screens"," Change / Avg."," Gross-to-Date"," Week"," Production Country",""
"9","4","Zodiac","$15,983","-81.3%","5","-14","$3,197","$132,687","2","USA"
"10","N"," Alayya el Tarab Biltalata","$10,245","-","6","-","$1,708","$10,245","1","Unknown"
"11","-","Haven","$1,648","-","3","-","$549","$35,422","2","Unknown"
"12","-","The Breed","$1,547","-49.9%","1","-2","$1,547","$182,480","4","Unknown"
"13","-","Bridge to Terabithia","$1,295","-91.5%","1","-8","$1,295","$241,944","5","USA"
"14","-","The Good Shepherd","$511","-63.3%","1","-","$511","$162,043","8","Unknown"
" TW"," LW"," Movie"," Weekend Gross"," Change"," Screens"," Change / Avg."," Gross-to-Date"," Week"," Production Country",""
"1","1","Pirates of the Caribbean: At World's End","$335,409","-58.8%","34","-4","$9,865","$1,315,993","2","Unknown"
"2","N","Pathfinder: Legend of the Ghost Warrior","$188,962","-","19","-","$9,945","$188,962","1","Canada, USA"
"3","N","Black Snake Moan","$107,300","-","19","-","$5,647","$107,300","1","Unknown"
"4","N","Zodiac","$85,388","-","19","-","$4,494","$85,388","1","USA"
"5","2","Spider-Man 3","$38,822","-49.9%","7","-9","$5,546","$2,264,147","5","USA"
"6","N","Breach","$23,239","-","8","-","$2,905","$23,239","1","Unknown"
"-","6","Bridge to Terabithia","$15,217","-29.2%","9","-9","$1,691","$237,589","4","USA"
"-","N"," Wahed Cappuccino","$8,468","-","8","-","$1,059","$8,468","1","Unknown"
"-","5","Hot Fuzz","$6,830","-77.1%","4","-11","$1,708","$162,612","3","France, UK"
"-","8","Are We Done Yet?","$5,896","-5.8%","1","-","$5,896","$235,474","6","Unknown"
"-","3","The Breed","$3,088","-91.6%","3","-14","$1,029","$179,599","3","Unknown"
"-","-","Shooter","$2,120","-20.3%","1","-","$2,120","$677,091","8","Unknown"
"-","-","Disturbia","$1,573","-25.6%","1","-","$1,573","$357,260","6","Unknown"
"-","-","Blades of Glory","$1,532","+114.0%","1","-","$1,532","$91,707","7","Unknown"
"-","-","The Good Shepherd","$1,392","-21.4%","1","-","$1,392","$181,169","7","Unknown"
" TW"," LW"," Movie"," Weekend Gross"," Change"," Screens"," Change / Avg."," Gross-to-Date"," Week",""
"1","N","Pirates of the Caribbean: At World's End","$814,025","-","38","-","$21,422","$814,025","1"
"2","1","Spider-Man 3","$77,524","-62.6%","16","-8","$4,845","$2,203,255","4"
"3","3","The Breed","$36,656","-61.6%","17","+3","$2,156","$159,375","2"
"4","2","The Hills Have Eyes 2","$36,083","-69.0%","13","-","$2,776","$185,024","2"
"5","4","Hot Fuzz","$29,808","-66.5%","15","-4","$1,987","$142,362","2"
"6","6","Bridge to Terabithia","$21,478","-66.1%","18","-","$1,193","$214,936","3"
"7","5"," Until Death","$19,128","-72.9%","10","-","$1,913","$109,348","2"
"8","10","Are We Done Yet?","$6,261","-38.5%","1","-1","$6,261","$227,060","5"
"-","14","Shooter","$2,659","-50.4%","1","-1","$2,659","$673,786","7"
"-","11"," Zay Al Hawa","$2,410","-70.3%","3","-4","$803","$13,575","2"
"-","9","Disturbia","$2,113","-80.1%","1","-3","$2,113","$354,673","5"
"-","16","The Good Shepherd","$1,772","-24.3%","1","-","$1,772","$159,096","6"
"-","8","Flyboys","$1,582","-91.5%","4","-11","$396","$107,945","3"
"-","12","Mr. Bean's Holiday","$1,265","-83.5%","2","-2","$633","$1,328,061","8"
"-","17","Blades of Glory","$716","-66.1%","1","-","$716","$89,467","6"
" TW"," LW"," Movie"," Weekend Gross"," Change"," Screens"," Change / Avg."," Gross-to-Date"," Week",""
"1","1","Spider-Man 3","$207,231","-57.2%","24","-11","$8,635","$2,088,218","3"
"2","N","The Hills Have Eyes 2","$116,226","-","13","-","$8,940","$116,226","1"
"3","N","The Breed","$95,345","-","14","-","$6,810","$95,345","1"
"4","N","Hot Fuzz","$89,039","-","19","-","$4,686","$89,039","1"
"5","N"," Until Death","$70,523","-","10","-","$7,052","$70,523","1"
"6","3","Bridge to Terabithia","$63,352","-37.1%","18","-1","$3,520","$184,560","2"
"7","2","Reno 911!: Miami","$26,712","-79.9%","15","-4","$1,781","$185,304","2"
"8","4","Flyboys","$18,705","-71.3%","15","-4","$1,247","$102,159","2"
"9","5","Disturbia","$10,616","-74.8%","4","-7","$2,654","$348,669","4"
"10","6","Are We Done Yet?","$10,184","-51.3%","2","-1","$5,092","$219,070","4"
"11","N"," Zay Al Hawa","$8,101","-","7","-","$1,157","$8,101","1"
"12","9","Mr. Bean's Holiday","$7,647","-55.0%","4","-3","$1,912","$1,325,465","7"
"13","8","Wild Hogs","$6,853","-59.9%","2","-2","$3,427","$525,513","5"
"14","7","Shooter","$5,365","-68.8%","2","-2","$2,683","$669,387","6"
"15","-","Happy Feet","$2,580","+19.9%","1","-","$2,580","$605,597","22"
"16","-","The Good Shepherd","$2,341","-55.0%","1","-1","$2,341","$156,771","5"
"17","-","Blades of Glory","$2,113","-18.8%","1","-","$2,113","$88,029","5"
"18","10"," The Trail","$803","-93.1%","1","-5","$803","$36,948","3"
"19","-","Hannibal Rising","$791","-7.1%","1","-","$791","$310,814","9"
"20","-"," Lasko Death Train","$576","-83.1%","1","-","$576","$107,822","4"
" TW"," LW"," Movie"," Weekend Gross"," Change"," Screens"," Change / Avg."," Gross-to-Date"," Week",""
"1","1","Spider-Man 3","$483,603","-56.5%","35","-2","$13,817","$1,795,131","2"
"2","N","Reno 911!: Miami","$133,104","-","19","-","$7,005","$133,104","1"
"3","N","Bridge to Terabithia","$100,759","-","19","-","$5,303","$100,759","1"
"4","N","Flyboys","$65,152","-","19","-","$3,429","$65,152","1"
"5","2","Disturbia","$42,088","-43.0%","11","-8","$3,826","$322,909","3"
"6","4","Are We Done Yet?","$20,917","-52.1%","3","-7","$6,972","$204,369","3"
"7","7","Shooter","$17,213","-34.8%","4","-5","$4,303","$657,280","5"
"8","5","Wild Hogs","$17,106","-46.8%","4","-2","$4,277","$510,437","4"
"9","6","Mr. Bean's Holiday","$17,000","-44.5%","7","-8","$2,429","$1,313,747","6"
"10","9"," The Trail","$11,582","-23.9%","6","-1","$1,930","$32,519","2"
"11","3"," Taxi 4","$10,633","-77.2%","3","-13","$3,544","$258,925","3"
"-","11","The Good Shepherd","$5,196","-40.0%","2","-2","$2,598","$152,907","4"
"-","8"," Lasko Death Train","$3,407","-79.6%","1","-12","$3,407","$106,817","3"
"-","13","Music and Lyrics","$3,300","-23.4%","1","-","$3,300","$228,812","5"
"-","15","Blades of Glory","$2,603","-14.5%","1","-","$2,603","$84,960","4"
"-","17","Happy Feet","$2,151","+25.4%","1","-","$2,151","$601,697","21"
"-","19","Happily N'Ever After","$1,341","+23.1%","1","-","$1,341","$135,443","8"
"-","10"," ABDO Mawasem","$1,005","-92.0%","1","-9","$1,005","$18,748","2"
"-","14","Provoked: A True Story","$941","-71.0%","1","-","$941","$135,209","6"
"-","18","Hannibal Rising","$851","-23.2%","1","-","$851","$309,680","8"
" TW"," LW"," Movie"," Weekend Gross"," Change"," Screens"," Change / Avg."," Gross-to-Date"," Week"," Production Country",""
"1","N","Spider-Man 3","$1,112,274","-","37","-","$30,061","$1,112,274","1","USA"
"2","2","Disturbia","$73,855","-47.8%","19","-","$3,887","$257,544","2","Unknown"
"3","1"," Taxi 4","$46,542","-70.7%","16","-2","$2,909","$235,289","2","France"
"4","3","Are We Done Yet?","$43,707","-60.3%","10","-6","$4,371","$175,181","2","Unknown"
"5","4","Wild Hogs","$32,135","-65.4%","6","-13","$5,356","$479,961","3","Unknown"
"6","6","Mr. Bean's Holiday","$30,624","-45.6%","15","-","$2,042","$1,286,150","5","Unknown"
"7","7","Shooter","$26,385","-45.5%","9","-1","$2,932","$628,871","4","Unknown"
"8","5"," Lasko Death Train","$16,736","-72.3%","13","-2","$1,287","$95,836","2","Unknown"
"9","N"," The Trail","$15,214","-","7","-","$2,173","$15,214","1","Unknown"
"10","N"," ABDO Mawasem","$12,479","-","10","-","$1,248","$12,479","1","Unknown"
"11","9","The Good Shepherd","$8,666","-62.9%","4","-6","$2,167","$144,924","3","Unknown"
"12","N","Death of a President","$5,583","-","2","-","$2,792","$5,583","1","UK"
"13","10","Music and Lyrics","$4,310","-71.5%","1","-3","$4,310","$224,074","4","Unknown"
"14","20","Provoked: A True Story","$3,241","+395.6%","1","-","$3,241","$132,869","5","Unknown"
"15","11","Blades of Glory","$3,045","-69.0%","1","-2","$3,045","$81,292","3","Unknown"
"16","8","The Reaping","$2,401","-91.8%","1","-10","$2,401","$202,533","3","USA"
"17","14","Happy Feet","$1,715","-21.9%","1","-","$1,715","$599,247","20","Australia, USA"
"18","17","Hannibal Rising","$1,108","-15.2%","1","-","$1,108","$308,278","7","Czech, France, Italy, UK"
"19","16","Happily N'Ever After","$1,089","-22.1%","1","-","$1,089","$133,898","7","Germany, USA"
"20","19","The Namesake","$381","-50.1%","1","-","$381","$84,364","7","India, USA"
"21","18","Norbit","$340","-68.4%","1","-","$340","$870,065","8","Unknown"
" TW"," LW"," Movie"," Weekend Gross"," Change"," Screens"," Change / Avg."," Gross-to-Date"," Week",""
"1","N"," Taxi 4","$158,697","-","18","-","$8,817","$158,697","1"
"2","N","Disturbia","$141,354","-","19","-","$7,440","$141,354","1"
"3","N","Are We Done Yet?","$110,189","-","16","-","$6,887","$110,189","1"
"4","1","Wild Hogs","$92,834","-65.3%","19","-","$4,886","$417,482","2"
"5","N"," Lasko Death Train","$60,364","-","15","-","$4,024","$60,364","1"
"6","3","Mr. Bean's Holiday","$56,256","-47.5%","15","-2","$3,750","$1,242,583","4"
"7","4","Shooter","$48,397","-53.4%","10","-7","$4,840","$583,978","3"
"8","2","The Reaping","$29,187","-76.7%","11","-8","$2,653","$187,930","2"
"9","5","The Good Shepherd","$23,374","-72.0%","10","-17","$2,337","$129,061","2"
"10","7","Music and Lyrics","$15,099","-64.4%","4","-8","$3,775","$241,806","3"
"11","6","Blades of Glory","$9,834","-79.9%","3","-16","$3,278","$75,386","2"
"12","9","300","$5,554","-75.8%","2","-3","$2,777","$1,482,071","6"
"13","N"," Bahebak Bamout Feek","$3,244","-","3","-","$1,081","$3,244","1"
"14","15","Happy Feet","$2,195","+5.6%","1","-","$2,195","$597,200","19"
"15","8","Perfect Stranger","$1,698","-94.9%","1","-11","$1,698","$201,627","3"
"16","14","Happily N'Ever After","$1,397","-44.4%","1","-","$1,397","$132,444","6"
"17","18","Hannibal Rising","$1,306","-32.8%","1","-1","$1,306","$306,756","6"
"18","11","Norbit","$1,077","-81.8%","1","-1","$1,077","$869,730","7"
"19","16","The Namesake","$764","-61.4%","1","-","$764","$83,594","6"
"20","13","Provoked: A True Story","$654","-85.7%","1","-1","$654","$129,082","4"
" TW"," LW"," Movie"," Weekend Gross"," Change"," Screens"," Change / Avg."," Gross-to-Date"," Week",""
"1","N","Wild Hogs","$267,194","-","19","-","$14,063","$267,194","1"
"2","N","The Reaping","$125,086","-","19","-","$6,583","$125,086","1"
"3","2","Mr. Bean's Holiday","$107,112","-58.7%","17","-4","$6,301","$1,163,993","3"
"4","1","Shooter","$103,762","-67.1%","17","-2","$6,104","$506,047","2"
"5","N","The Good Shepherd","$83,413","-","27","-","$3,089","$83,413","1"
"6","N","Blades of Glory","$48,977","-","19","-","$2,578","$48,977","1"
"7","4","Music and Lyrics","$42,432","-62.1%","12","-3","$3,536","$186,599","2"
"8","3","Perfect Stranger","$33,166","-71.6%","12","-7","$2,764","$188,925","2"
"9","5","300","$22,991","-57.5%","5","-5","$4,598","$15,738","5"
"10","N"," An el ashq wel hawa","$15,738","-","6","-","$2,623","$15,738","1"
"11","8","Norbit","$5,930","-68.4%","2","-2","$2,965","$867,076","6"
"12","N"," River Queen","$5,447","-","2","-","$2,724","$5,447","1"
"13","6","Provoked: A True Story","$4,567","-80.9%","2","-11","$2,284","$126,864","3"
"14","-","Happily N'Ever After","$2,511","+10.6%","1","-","$2,511","$130,772","5"
"15","-","Happy Feet","$2,078","-24.1%","1","-","$2,078","$594,419","18"
"16","-","The Namesake","$1,981","-62.4%","1","-2","$1,981","$82,177","5"
"17","9","The Painted Veil","$1,964","-87.2%","1","-8","$1,964","$23,450","2"
"18","-","Hannibal Rising","$1,942","-42.3%","2","-","$971","$304,819","5"
"19","-","The Deal","$754","-","1","-","$754","$20,035","2"
"20","7","Tom yum goong (The Protector)","$586","-96.9%","1","-14","$586","$348,054","4"
