" TW"," LW"," Movie"," Studio"," Weekend Gross"," Change"," Screens"," Change / Avg."," Gross-to-Date"," Week",""
"7","8","The Proposal","Disney","$27,207","-14.8%","13","-1","$2,093","$1,151,019","8","USA"
"8","9","Ghosts of Girlfriends Past","WB","$26,201","-15.0%","18","-","$1,456","$573,734","6","USA"
"9","7","Brüno","Forum Films","$24,807","-47.2%","21","-9","$1,181","$1,008,991","5","Unknown"
"10","10","Public Enemies","UIP","$15,882","-28.6%","19","+2","$836","$344,776","5","Unknown"
"11","11","UIP","$12,538","-11.4%","9","-3","$1,393","$841,968","7","USA",""
" TW"," LW"," Movie"," Studio"," Weekend Gross"," Change"," Screens"," Change / Avg."," Gross-to-Date"," Week"," Production Country",""
"1","1","Up","Disney","$386,074","-22.0%","61","-3","$6,329","$1,198,502","2","USA"
"2","N","The Hangover","WB","$247,383","-","29","-","$8,530","$247,383","1","USA"
"3","2","Harry Potter and the Half Blood Prince","WB","$185,012","-41.3%","49","-","$3,776","$1,612,067","3","Unknown"
"4","3","Ice Age: Dawn of the Dinosaurs","Fox","$181,191","-17.4%","57","-","$3,179","$2,788,825","5","Unknown"
"5","4","The Taking of Pelham One, Two, Three","Sony","$79,785","-38.0%","19","-","$4,199","$266,298","2","UK, USA"
"6","N","The Tale of Despereaux","UIP","$55,057","-","24","-","$2,294","$55,057","1","UK, USA"
"7","5","Brüno","Forum Films","$46,970","-45.7%","30","-","$1,566","$822,096","4","Unknown"
"8","7","The Proposal","Disney","$31,932","-21.4%","14","-2","$2,281","$1,104,649","7","USA"
"9","6","Ghosts of Girlfriends Past","WB","$30,820","-24.5%","18","-3","$1,712","$528,323","5","USA"
"10","8","Public Enemies","UIP","$22,249","-42.6%","17","-9","$1,309","$315,978","4","Unknown"
"11","9","UIP","$14,146","-48.6%","12","-16","$1,179","$819,332","6","USA",""
" TW"," LW"," Movie"," Studio"," Weekend Gross"," Change"," Screens"," Change / Avg."," Gross-to-Date"," Week"," Production Country",""
"1","N","Up","Disney","$494,735","-","64","-","$7,730","$508,398","1","USA"
